token	negative	positive	
&	0.0019556714	0.0008149959	
10	0.0019556714	0.0016299919	
15	0.0039113429	0.0016299919	
2	0.0026075619	0.0016299919	
20	0.0026075619	0.0008149959	
25	0.0019556714	0.0008149959	
4	0.0019556714	0.0016299919	
4/5	0.0032594524	0.0008149959	
6	0.0019556714	0.0008149959	
6pm	0.0019556714	0.0008149959	
actual	0.0019556714	0.0008149959	
add	0.0019556714	0.0016299919	
american	0.0026075619	0.0016299919	
amount	0.0019556714	0.0008149959	
appetizer	0.0026075619	0.0016299919	
applied	0.0019556714	0.0008149959	
area	0.0019556714	0.0032599837	
arrived	0.0019556714	0.0008149959	
asked	0.0065189048	0.0008149959	
attendant	0.0019556714	0.0008149959	
average	0.0026075619	0.0008149959	
back	0.0084745763	0.0048899756	
bad	0.0065189048	0.0016299919	
bar	0.0019556714	0.0040749796	
bar-b-que	0.0019556714	0.0008149959	
barely	0.0019556714	0.0008149959	
beer	0.0019556714	0.0032599837	
beers	0.0019556714	0.0008149959	
began	0.0026075619	0.0008149959	
bharta	0.0019556714	0.0008149959	
bill	0.0019556714	0.0008149959	
bit	0.0019556714	0.0016299919	
bite	0.0026075619	0.0008149959	
bland	0.0039113429	0.0008149959	
bothered	0.0019556714	0.0008149959	
bread	0.0039113429	0.0024449878	
bring	0.0032594524	0.0024449878	
brought	0.0019556714	0.0008149959	
brown	0.0019556714	0.0008149959	
buffalo	0.0019556714	0.0016299919	
buffet	0.0026075619	0.0008149959	
burger	0.0026075619	0.0008149959	
busy	0.0019556714	0.0016299919	
call	0.0026075619	0.0024449878	
called	0.0045632334	0.0024449878	
calling	0.0032594524	0.0008149959	
campus	0.0019556714	0.0024449878	
casino	0.0026075619	0.0008149959	
castle	0.0019556714	0.0008149959	
cheap	0.0026075619	0.0008149959	
check	0.0032594524	0.0016299919	
cheese	0.0032594524	0.0057049715	
chicken	0.0058670143	0.0048899756	
chinese	0.0026075619	0.0057049715	
chipotle	0.0026075619	0.0008149959	
chop	0.0019556714	0.0008149959	
city	0.0032594524	0.0016299919	
cold	0.0052151239	0.0016299919	
comfort	0.0032594524	0.0016299919	
cooked	0.0045632334	0.0032599837	
cool	0.0019556714	0.0008149959	
coupon	0.0019556714	0.0008149959	
crowded	0.0019556714	0.0008149959	
dal	0.0026075619	0.0008149959	
day	0.0019556714	0.0024449878	
dead	0.0019556714	0.0008149959	
decided	0.0019556714	0.0008149959	
delicious	0.0019556714	0.0081499593	
dessert	0.0019556714	0.0016299919	
didn	0.0045632334	0.0032599837	
die	0.0019556714	0.0016299919	
dine	0.0052151239	0.0016299919	
diner	0.0019556714	0.0008149959	
dining	0.0032594524	0.0057049715	
dinner	0.0052151239	0.0048899756	
dinosaur	0.0019556714	0.0008149959	
dirty	0.0026075619	0.0008149959	
disappointed	0.0026075619	0.0008149959	
disaster	0.0019556714	0.0008149959	
dish	0.0045632334	0.0016299919	
dishes	0.0058670143	0.0057049715	
don	0.0039113429	0.0032599837	
dressed	0.0019556714	0.0008149959	
drink	0.0019556714	0.0008149959	
drinks	0.0032594524	0.0008149959	
dry	0.0026075619	0.0008149959	
eat	0.0026075619	0.0008149959	
eating	0.0026075619	0.0008149959	
eggs	0.0026075619	0.0008149959	
ended	0.0026075619	0.0016299919	
entered	0.0019556714	0.0016299919	
entree	0.0019556714	0.0008149959	
environment	0.0019556714	0.0048899756	
everyday	0.0019556714	0.0008149959	
exceptional	0.0019556714	0.0016299919	
excited	0.0019556714	0.0008149959	
expect	0.0019556714	0.0008149959	
experience	0.0091264668	0.0089649552	
extremely	0.0026075619	0.0008149959	
favorite	0.0026075619	0.0057049715	
fiance	0.0019556714	0.0016299919	
finally	0.0032594524	0.0008149959	
find	0.0032594524	0.0032599837	
finish	0.0026075619	0.0016299919	
finished	0.0019556714	0.0008149959	
flavor	0.0032594524	0.0016299919	
flies	0.0019556714	0.0008149959	
fly	0.0019556714	0.0008149959	
flyer	0.0019556714	0.0008149959	
food	0.0280312907	0.0317848411	
found	0.0065189048	0.0016299919	
free	0.0032594524	0.0008149959	
fresh	0.0026075619	0.0097799511	
friday	0.0019556714	0.0016299919	
friend	0.0019556714	0.0024449878	
friends	0.0065189048	0.0081499593	
fries	0.0019556714	0.0008149959	
garden	0.0019556714	0.0016299919	
give	0.0039113429	0.0016299919	
glass	0.0045632334	0.0024449878	
good	0.0091264668	0.0146699267	
great	0.0032594524	0.0179299104	
grocery	0.0026075619	0.0008149959	
half	0.0032594524	0.0008149959	
ham	0.0019556714	0.0008149959	
hard	0.0026075619	0.0024449878	
high	0.0019556714	0.0032599837	
hopes	0.0019556714	0.0008149959	
horrible	0.0026075619	0.0008149959	
hour	0.0045632334	0.0008149959	
hurry	0.0019556714	0.0008149959	
iced	0.0045632334	0.0016299919	
idea	0.0019556714	0.0008149959	
indian	0.0045632334	0.0024449878	
inside	0.0019556714	0.0008149959	
isn	0.0019556714	0.0008149959	
jersey	0.0019556714	0.0008149959	
kadhai	0.0019556714	0.0008149959	
kind	0.0019556714	0.0032599837	
kinda	0.0019556714	0.0008149959	
lamb	0.0019556714	0.0008149959	
lemongrass	0.0019556714	0.0008149959	
life	0.0045632334	0.0040749796	
long	0.0045632334	0.0024449878	
looked	0.0026075619	0.0016299919	
lot	0.0019556714	0.0024449878	
low	0.0026075619	0.0008149959	
lunch	0.0019556714	0.0032599837	
macaroni	0.0019556714	0.0008149959	
made	0.0039113429	0.0040749796	
main	0.0026075619	0.0016299919	
makhni	0.0019556714	0.0008149959	
map	0.0019556714	0.0008149959	
marshall	0.0026075619	0.0008149959	
meal	0.0045632334	0.0032599837	
mediocre	0.0019556714	0.0008149959	
menu	0.0058670143	0.0065199674	
minutes	0.0143415906	0.0024449878	
mood	0.0019556714	0.0008149959	
nice	0.0019556714	0.0081499593	
night	0.0026075619	0.0016299919	
noisy	0.0026075619	0.0008149959	
notice	0.0026075619	0.0008149959	
ny	0.0026075619	0.0024449878	
oil	0.0019556714	0.0008149959	
olive	0.0019556714	0.0008149959	
order	0.0084745763	0.0024449878	
ordered	0.0123859192	0.0081499593	
ordering	0.0019556714	0.0008149959	
orders	0.0019556714	0.0024449878	
owner	0.0019556714	0.0008149959	
paid	0.0026075619	0.0008149959	
paneer	0.0019556714	0.0008149959	
panera	0.0019556714	0.0008149959	
pasta	0.0026075619	0.0024449878	
pay	0.0026075619	0.0008149959	
people	0.0052151239	0.0040749796	
pepper	0.0026075619	0.0008149959	
person	0.0026075619	0.0008149959	
pet	0.0019556714	0.0008149959	
pizza	0.0052151239	0.0073349633	
place	0.0195567145	0.0122249389	
plate	0.0058670143	0.0065199674	
pm	0.0032594524	0.0008149959	
point	0.0019556714	0.0024449878	
police	0.0019556714	0.0008149959	
popular	0.0019556714	0.0016299919	
poured	0.0019556714	0.0008149959	
pressed	0.0019556714	0.0008149959	
pretty	0.0026075619	0.0032599837	
price	0.0019556714	0.0040749796	
prices	0.0032594524	0.0065199674	
properly	0.0019556714	0.0008149959	
prosecco	0.0019556714	0.0008149959	
quality	0.0026075619	0.0065199674	
queue	0.0019556714	0.0008149959	
rating	0.0019556714	0.0016299919	
ravioli	0.0019556714	0.0024449878	
reading	0.0019556714	0.0024449878	
recently	0.0019556714	0.0016299919	
recommend	0.0019556714	0.0040749796	
red	0.0026075619	0.0016299919	
refused	0.0026075619	0.0008149959	
restaurant	0.0260756193	0.0301548492	
review	0.0019556714	0.0008149959	
reviews	0.0032594524	0.0008149959	
rude	0.0019556714	0.0008149959	
rudely	0.0026075619	0.0008149959	
salad	0.0084745763	0.0032599837	
salt	0.0019556714	0.0008149959	
salty	0.0019556714	0.0008149959	
samrat	0.0019556714	0.0008149959	
sandwich	0.0019556714	0.0008149959	
sauce	0.0019556714	0.0073349633	
seated	0.0039113429	0.0008149959	
seats	0.0019556714	0.0008149959	
served	0.0065189048	0.0040749796	
server	0.0032594524	0.0008149959	
service	0.0097783572	0.0122249389	
serving	0.0019556714	0.0008149959	
share	0.0032594524	0.0008149959	
shop	0.0019556714	0.0008149959	
shrimp	0.0019556714	0.0016299919	
sizzling	0.0019556714	0.0008149959	
slow	0.0019556714	0.0008149959	
smell	0.0032594524	0.0008149959	
sommalier	0.0026075619	0.0008149959	
souffle	0.0019556714	0.0008149959	
soup	0.0019556714	0.0024449878	
southern	0.0026075619	0.0024449878	
special	0.0019556714	0.0048899756	
staff	0.0032594524	0.0057049715	
started	0.0019556714	0.0008149959	
steak	0.0032594524	0.0024449878	
store	0.0032594524	0.0008149959	
street	0.0026075619	0.0016299919	
subway	0.0026075619	0.0008149959	
surprised	0.0019556714	0.0008149959	
syracuse	0.0019556714	0.0024449878	
table	0.0065189048	0.0024449878	
tables	0.0026075619	0.0016299919	
taste	0.0058670143	0.0048899756	
tea	0.0045632334	0.0016299919	
terrible	0.0084745763	0.0008149959	
thai	0.0019556714	0.0032599837	
thing	0.0026075619	0.0008149959	
things	0.0019556714	0.0024449878	
thought	0.0019556714	0.0008149959	
threw	0.0019556714	0.0008149959	
time	0.0058670143	0.0057049715	
times	0.0019556714	0.0024449878	
tip	0.0019556714	0.0008149959	
tipped	0.0019556714	0.0008149959	
tofu	0.0039113429	0.0008149959	
top	0.0019556714	0.0016299919	
tripadvisor	0.0019556714	0.0008149959	
type	0.0019556714	0.0008149959	
utterly	0.0019556714	0.0008149959	
veggie	0.0032594524	0.0008149959	
wait	0.0071707953	0.0024449878	
waited	0.0039113429	0.0008149959	
waiter	0.0071707953	0.0024449878	
waiters	0.0026075619	0.0032599837	
waiting	0.0019556714	0.0008149959	
waitress	0.0071707953	0.0032599837	
warm	0.0019556714	0.0008149959	
wasn	0.0058670143	0.0016299919	
water	0.0019556714	0.0016299919	
week	0.0026075619	0.0016299919	
welcoming	0.0019556714	0.0008149959	
white	0.0019556714	0.0016299919	
worse	0.0019556714	0.0008149959	
worst	0.0058670143	0.0008149959	
worth	0.0026075619	0.0040749796	
wouldn	0.0019556714	0.0008149959	
write	0.0019556714	0.0008149959	
wrong	0.0032594524	0.0008149959	
xyz	0.0019556714	0.0008149959	
yelp	0.0026075619	0.0008149959	
york	0.0019556714	0.0016299919	
-	0.001303781	0.0032599837	
amazing	0.0006518905	0.0122249389	
ambiance	0.001303781	0.0040749796	
applebee	0.0006518905	0.0024449878	
ate	0.001303781	0.0040749796	
atmosphere	0.0006518905	0.0040749796	
attentive	0.001303781	0.0024449878	
authentic	0.0006518905	0.0024449878	
awesome	0.0006518905	0.0040749796	
baked	0.0006518905	0.0024449878	
banana	0.0006518905	0.0024449878	
big	0.001303781	0.0024449878	
birthday	0.0006518905	0.0032599837	
boat	0.0006518905	0.0024449878	
brunch	0.0006518905	0.0024449878	
cafe	0.0006518905	0.0032599837	
cake	0.0006518905	0.0024449878	
case	0.001303781	0.0024449878	
catch	0.0006518905	0.0024449878	
celebration	0.0006518905	0.0032599837	
chocolate	0.0006518905	0.0040749796	
choose	0.001303781	0.0024449878	
cicero	0.0006518905	0.0024449878	
clean	0.001303781	0.0024449878	
coffee	0.0006518905	0.0040749796	
comfortable	0.0006518905	0.0024449878	
coming	0.001303781	0.0024449878	
cream	0.0006518905	0.0048899756	
cruise	0.0006518905	0.0024449878	
curry	0.001303781	0.0024449878	
customer	0.0006518905	0.0032599837	
decent	0.0006518905	0.0024449878	
deck	0.0006518905	0.0024449878	
enjoyed	0.0006518905	0.0024449878	
excellent	0.0006518905	0.0024449878	
expensive	0.001303781	0.0032599837	
family	0.001303781	0.0040749796	
feel	0.0006518905	0.0032599837	
feeling	0.0006518905	0.0024449878	
felt	0.001303781	0.0032599837	
fish	0.0006518905	0.0024449878	
flavors	0.0006518905	0.0040749796	
fried	0.001303781	0.0024449878	
friendly	0.001303781	0.0081499593	
full	0.0006518905	0.0024449878	
fun	0.001303781	0.0024449878	
generally	0.001303781	0.0024449878	
grill	0.0006518905	0.0024449878	
hibachi	0.0006518905	0.0024449878	
home	0.001303781	0.0040749796	
homemade	0.0006518905	0.0024449878	
hot	0.0006518905	0.0032599837	
hotel	0.0006518905	0.0024449878	
hours	0.001303781	0.0024449878	
house	0.0006518905	0.0024449878	
hudson	0.0006518905	0.0024449878	
huge	0.0006518905	0.0024449878	
ice	0.001303781	0.0048899756	
ingredients	0.0006518905	0.0040749796	
italian	0.0006518905	0.0024449878	
italy	0.0006518905	0.0024449878	
japanese	0.001303781	0.0048899756	
joe	0.0006518905	0.0024449878	
kaap	0.0006518905	0.0024449878	
kid	0.0006518905	0.0024449878	
kitchen	0.001303781	0.0024449878	
lasagna	0.0006518905	0.0024449878	
layer	0.0006518905	0.0024449878	
leaf	0.0006518905	0.0024449878	
light	0.0006518905	0.0024449878	
list	0.0006518905	0.0024449878	
lobby	0.0006518905	0.0024449878	
london	0.0006518905	0.0024449878	
love	0.0006518905	0.0048899756	
makes	0.0006518905	0.0048899756	
manhattan	0.0006518905	0.0024449878	
matador	0.0006518905	0.0024449878	
meat	0.0006518905	0.0024449878	
michelin	0.0006518905	0.0024449878	
middle	0.001303781	0.0024449878	
morning	0.0006518905	0.0024449878	
mother	0.0006518905	0.0024449878	
music	0.001303781	0.0040749796	
noodle	0.0006518905	0.0048899756	
nyc	0.0006518905	0.0024449878	
outstanding	0.001303781	0.0032599837	
packed	0.001303781	0.0024449878	
pick	0.0006518905	0.0032599837	
quick	0.001303781	0.0032599837	
raspberry	0.001303781	0.0024449878	
restaurants	0.0006518905	0.0048899756	
rice	0.0006518905	0.0032599837	
rim	0.0006518905	0.0024449878	
river	0.0006518905	0.0032599837	
side	0.001303781	0.0024449878	
sister	0.0006518905	0.0032599837	
small	0.0006518905	0.0024449878	
smile	0.0006518905	0.0024449878	
smiling	0.0006518905	0.0024449878	
smooth	0.0006518905	0.0024449878	
soft	0.0006518905	0.0032599837	
spicy	0.0006518905	0.0024449878	
spinach	0.0006518905	0.0024449878	
states	0.0006518905	0.0024449878	
sushi	0.0006518905	0.0040749796	
sweet	0.001303781	0.0024449878	
talked	0.0006518905	0.0024449878	
tasted	0.0006518905	0.0024449878	
totally	0.001303781	0.0024449878	
tower	0.0006518905	0.0024449878	
town	0.0006518905	0.0032599837	
trees	0.0006518905	0.0024449878	
twin	0.0006518905	0.0024449878	
united	0.0006518905	0.0024449878	
variety	0.001303781	0.0024449878	
view	0.0006518905	0.0032599837	
views	0.0006518905	0.0024449878	
visiting	0.0006518905	0.0024449878	
waitstaff	0.001303781	0.0032599837	
wine	0.001303781	0.0024449878	
wonderful	0.001303781	0.0024449878	
words	0.0006518905	0.0024449878	
world	0.0006518905	0.0024449878	
