token	fake	true	
-	0.0028449502	0.001578532	
10	0.0021337127	0.001578532	
15	0.0049786629	0.000789266	
2	0.0035561878	0.000789266	
20	0.0028449502	0.000789266	
25	0.0021337127	0.000789266	
4	0.0028449502	0.000789266	
4/5	0.0028449502	0.001578532	
8	0.0021337127	0.000789266	
ago	0.0021337127	0.000789266	
amazing	0.0071123755	0.0047355959	
ambiance	0.0035561878	0.001578532	
appetizer	0.0028449502	0.001578532	
applied	0.0021337127	0.000789266	
area	0.0035561878	0.001578532	
asked	0.0042674253	0.0039463299	
ate	0.0028449502	0.0023677979	
atmosphere	0.0021337127	0.0023677979	
attendant	0.0021337127	0.000789266	
average	0.0028449502	0.000789266	
back	0.006401138	0.0078926598	
bad	0.0035561878	0.0055248619	
banana	0.0021337127	0.000789266	
beer	0.0028449502	0.0023677979	
began	0.0021337127	0.001578532	
birthday	0.0028449502	0.000789266	
bit	0.0021337127	0.001578532	
black	0.0021337127	0.000789266	
bland	0.0021337127	0.0031570639	
bread	0.0035561878	0.0031570639	
brewed	0.0021337127	0.000789266	
bring	0.0042674253	0.001578532	
brunch	0.0021337127	0.000789266	
buffalo	0.0021337127	0.001578532	
burger	0.0021337127	0.001578532	
cake	0.0021337127	0.000789266	
call	0.0035561878	0.001578532	
called	0.0042674253	0.0031570639	
carlo	0.0021337127	0.000789266	
casino	0.0028449502	0.000789266	
castle	0.0021337127	0.000789266	
celebration	0.0028449502	0.000789266	
check	0.0028449502	0.0023677979	
cheese	0.0021337127	0.0071033938	
chicken	0.0056899004	0.0055248619	
chinese	0.0021337127	0.0063141279	
chipotle	0.0028449502	0.000789266	
chocolate	0.0035561878	0.000789266	
choose	0.0021337127	0.001578532	
chunks	0.0021337127	0.000789266	
city	0.0021337127	0.0031570639	
cold	0.006401138	0.000789266	
comfort	0.0042674253	0.000789266	
coming	0.0021337127	0.001578532	
cooked	0.0056899004	0.0023677979	
costed	0.0021337127	0.000789266	
coupon	0.0021337127	0.000789266	
cream	0.0035561878	0.001578532	
curry	0.0021337127	0.001578532	
dal	0.0021337127	0.001578532	
days	0.0021337127	0.000789266	
delicious	0.0049786629	0.0047355959	
didn	0.0056899004	0.0023677979	
dine	0.0049786629	0.0023677979	
dining	0.0056899004	0.0031570639	
dinner	0.0049786629	0.0055248619	
disaster	0.0021337127	0.000789266	
dish	0.0028449502	0.0039463299	
dishes	0.0071123755	0.0047355959	
don	0.0049786629	0.0023677979	
drink	0.0021337127	0.000789266	
drinks	0.0035561878	0.000789266	
eat	0.0021337127	0.001578532	
enjoyed	0.0021337127	0.000789266	
entered	0.0028449502	0.000789266	
excellent	0.0021337127	0.000789266	
exceptional	0.0021337127	0.001578532	
expect	0.0021337127	0.000789266	
expensive	0.0035561878	0.000789266	
experience	0.0113798009	0.0071033938	
extremely	0.0021337127	0.001578532	
family	0.0035561878	0.001578532	
favorite	0.0035561878	0.0047355959	
felt	0.0028449502	0.001578532	
finally	0.0028449502	0.001578532	
find	0.0028449502	0.0039463299	
fish	0.0021337127	0.000789266	
flavor	0.0021337127	0.0031570639	
flavors	0.0021337127	0.0023677979	
fly	0.0021337127	0.000789266	
food	0.0277382646	0.0339384373	
found	0.0042674253	0.0047355959	
free	0.0035561878	0.000789266	
fresh	0.0071123755	0.0047355959	
fried	0.0028449502	0.000789266	
friend	0.0028449502	0.001578532	
friendly	0.0042674253	0.0047355959	
friends	0.0071123755	0.0078926598	
fries	0.0021337127	0.000789266	
fun	0.0021337127	0.001578532	
garden	0.0028449502	0.000789266	
give	0.0035561878	0.0023677979	
good	0.0085348506	0.0157853197	
great	0.0099573257	0.0102604578	
grill	0.0021337127	0.000789266	
group	0.0021337127	0.000789266	
half	0.0028449502	0.001578532	
ham	0.0021337127	0.000789266	
happy	0.0021337127	0.000789266	
hard	0.0028449502	0.0023677979	
hawaiian	0.0021337127	0.000789266	
