token	alt.atheism	comp.graphics	comp.os.ms-windows.misc	comp.sys.ibm.pc.hardware	comp.sys.mac.hardware	comp.windows.x	misc.forsale	rec.autos	rec.motorcycles	rec.sport.baseball	rec.sport.hockey	sci.crypt	sci.electronics	sci.med	sci.space	soc.religion.christian	talk.politics.guns	talk.politics.mideast	talk.politics.misc	talk.religion.misc	
#	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
#>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
#|>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
$	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
*not*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
-	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0	0	
--	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
00	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	
01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
