id,label,user,timestamp,text,reviewer1,reviewer2,reviewer3,reviewer4,reviewer5
1,0,_ItsJustChris,12/26/2011 22:44,Artificial Intelligence Is Going To Be The End Of The World. Artificial Intelligence Is Robots For You Dumbies.,neg,neg,neg,neg,neg
47,0,AnonTechOps,1/14/2019 23:20,The Weaponization Of Artificial Intelligence #ArtificialIntelligencehttps://www.forbes.com/sites/cognitiveworld/2019/01/14/the-weaponization-of-artificial-intelligence/ …,neg,neg,neg,neg,neg
53,0,Arnold_Haine,1/14/2019 23:25,The Weaponization Of Artificial Intelligence #AI https://buff.ly/2TLkz3u pic.twitter.com/pr2lTzcR95,neg,neg,neg,neg,neg
86,0,BitHack3r,5/6/2011 18:53,@TheChameleon84 wow. I hate Artificial Intelligence but then again I'm stupid. Hate agents :P,neg,neu,neu,neg,neg
103,0,brittneyinc,7/19/2014 21:50,this artificial intelligence performance kind of fucked me up...,neg,neg,neg,neg,neu
116,0,cfccreates,11/27/2013 19:06,"""full of biotechnological paranoia & interactions with personalized (+possibly malevolent) artificial intelligence"" - http://bit.ly/1cJpXbz ",neg,neg,neg,neg,neg
128,0,ChinaQ10,7/19/2014 20:57,#3: Our Final Invention: Artificial Intelligence and the End of the Human Era: Our Final Invention: Artificial... http://amzn.to/1sUnROS ,neu,neu,neg,neg,neu
132,0,chrisholland,12/22/2006 17:18,thinks stef should enroll a piece of sadistic artificial intelligence to call clients on saturday.,neu,neu,neu,neg,neu
193,0,eeeh,10/8/2008 14:12,"... so many artificial intelligence, so many business intelligence... and the newsletter cannot be read ...UNSUBSCRIBE ME, PLEASE !!!",neg,neg,neg,neu,neg
0,0,_emv,9/14/2010 8:25,Could Artificial Intelligence Development Hit a Dead End?: Kurzweil and his proponents seem to be unshakable in th... http://bit.ly/cvOBE1,neu,neg,neu,neg,neg
2,0,_masaka,2/20/2008 11:12,"quotes BBC News ""Machines will achieve human-level artificial intelligence by 2029"" not SW, but ""tiny robots implanted in people's brains""",pos,neg,pos,neu,neg
9,0,8BallEyes,3/11/2015 22:30,"@M1chelletolland @rustyrockets Artificial Intelligence  coz of your ""I gained 48384 followers"" lol I'm only messing. :)",pos,pos,pos,pos,neu
15,0,AdamObelisk,11/27/2013 20:31,"@Maja_Stina Funny, that sounds just like what an artificial intelligence would say. :P",neu,neg,neu,neu,neu
28,0,Aithene,2/8/2008 18:23,@hooeyspewer Its like Microsoft mastered Artificial Intelligence w/out mastering artificial personalities.,pos,neu,neu,pos,pos
33,0,alexandrusavu,1/28/2007 17:25,Chit chatting with my mates& MSG. The calm before another pointless exam : Artificial intelligence,neu,neu,pos,neu,neu
37,0,AlmostHumor,3/11/2015 22:15,"Code Breakers: What do you get when you mix a death lottery, lethal artificial intelligence and three hackers?... http://fb.me/1JkygTqjU ",neu,neu,neu,neu,neu
38,0,amandachapel,1/29/2008 16:00,"@mediaphyter: Twitter is faux community. This is NOT fellowship. Other than silly peas, this is only a hair above artificial intelligence.",neu,neu,neg,pos,neu
45,0,angiedarrling,2/10/2017 23:47,"Even in poker, artificial intelligence may hold all the cards https://drumup.io/s/fLL0zH ",neg,pos,neu,neu,neg
48,0,AntheaERoberts,1/14/2019 23:54,"Worth reading this piece by @DanCiuriak on the tech basis underlying the US-China trade war. #geoeconomics

The ""trade war is actually predicted by the emergence of a new technological domain — big data, machine learning and artificial intelligence..."" -1

https://www.cigionline.org/articles/trade-war-fuelled-technology …",pos,pos,neu,pos,pos
59,0,Ashley_Bashleee,5/24/2018 23:24,Wowzers Artificial Intelligence has finally gone Rogue or.... this Woman is a Bad liar and recorded her own conversation and lied saying Alexa did it... come on Alexa... send a robot from the future to kill her ..... like John Connor http://www.foxnews.com/tech/2018/05/24/amazon-alexa-records-and-shares-womans-private-conversation.html …,neg,neu,neg,neg,neu
76,0,benkunz,10/6/2008 0:52,Is artificial intelligence already among us? http://www.thoughtgadgets.com/,neu,neu,pos,neu,neu
81,0,biconnections,6/21/2016 23:50,"The 7 biggest myths about artificial #intelligence
http://bit.ly/1WGKq8n pic.twitter.com/7Qulo8B2El",pos,pos,neu,neu,pos
85,0,birlaakhand,5/6/2011 18:06,"@SrBachchan hahahaha sir,artificial intelligence has a way to go really....:-)",neu,neu,pos,neu,neg
90,0,blackofficer1,6/2/2009 1:35,"morning again. 26hr left for xam :) artificial intelligence is the subject. hope i too had sme of to study, i mean AI :)",neu,pos,pos,neu,neg
96,0,BorisVMirow,12/26/2011 20:01,"are #corporations entities of #artificial_intelligence? they feed off individuals, reshape them and use them for self sustained purposes",neu,neg,neu,neu,neu
101,0,BrianGreene,10/2/2008 10:16,"""In the next twenty years most basic administrative and analytical business work will be undertaken by artificial intelligence systems.""",neu,neg,pos,pos,neu
102,0,BrianK1220,1/14/2019 23:53,@RepAdamSchiff is the definition of Artificial Intelligence!,neg,neu,pos,neg,neg
110,0,CAPRA_LUCIDUS,10/2/2017 23:31,"i do believe that this twitter account is, in fact, not an artificial intelligence",pos,pos,neu,pos,neu
112,0,carlosdominguez,4/7/2013 17:12,Predicting the future of artificial intelligence has always been a fool's game http://flip.it/P9x13 ,neu,neu,neu,neg,neu
126,0,chihiro_enbot,10/31/2015 23:05,"You see, in the field of artificial intelligence, there's strong AI and weak AI. Weak AI isn't meant to match human intelligence.",pos,neg,neg,neg,pos
129,0,cho_layz,5/6/2011 16:10,RT @MinNorway2882: Real stupidity beats artificial intelligence every time. #teamfollowback,pos,pos,pos,pos,pos
136,0,CineversityTV,6/21/2016 23:35,5 ways #artificial #intelligence will disrupt #science #tech #AI #skynet #UN #nuitdebout #wikileaks... | @scoopit http://sco.lt/8ddAUz ,neg,neg,neu,neg,neg
152,0,crudeconclusion,7/19/2014 22:53,I missed Artificial Intelligence for this.,neg,neg,neg,neg,neg
153,0,ctricot,2/10/2017 23:56,#AI: Why Artificial Intelligence Might Replace Your Lawyer #ArtificialIntelligence http://buff.ly/2kC0uxN pic.twitter.com/Y97kJcsZjJ,neg,neg,pos,pos,neg
154,0,cyborgstory,1/14/2019 23:13,The Artificial Intelligence  grossed almost.,neu,neg,neu,pos,neg
155,0,d_busthead,12/26/2011 21:55,"artificial intelligence...“@olawalejuve: Fifa 12 don mad finish...if you play ramsey today on the game, the commentators'll talk about his b",pos,pos,pos,neg,neu
165,0,dcalderhead,6/1/2009 21:17,"@northernattack Who am I really following here, some sort of artificial intelligence?",neu,neg,neu,neu,neg
168,0,debtfreeguy,5/6/2011 17:34,A year spent in artificial intelligence is enough to make one believe in God. #RK Quote,neu,pos,neu,neu,neu
175,0,dipesh008,5/6/2011 20:25,How Robots Think: Why Artificial Intelligence Is Nothing Like the Human Mind http://goo.gl/fb/EgKdq,neu,neu,neu,neu,pos
