id,label,user,timestamp,text
1,0,_ItsJustChris,12/26/2011 22:44,Artificial Intelligence Is Going To Be The End Of The World. Artificial Intelligence Is Robots For You Dumbies.
47,0,AnonTechOps,1/14/2019 23:20,The Weaponization Of Artificial Intelligence #ArtificialIntelligencehttps://www.forbes.com/sites/cognitiveworld/2019/01/14/the-weaponization-of-artificial-intelligence/ …
53,0,Arnold_Haine,1/14/2019 23:25,The Weaponization Of Artificial Intelligence #AI https://buff.ly/2TLkz3u pic.twitter.com/pr2lTzcR95
86,0,BitHack3r,5/6/2011 18:53,@TheChameleon84 wow. I hate Artificial Intelligence but then again I'm stupid. Hate agents :P
103,0,brittneyinc,7/19/2014 21:50,this artificial intelligence performance kind of fucked me up...
116,0,cfccreates,11/27/2013 19:06,"""full of biotechnological paranoia & interactions with personalized (+possibly malevolent) artificial intelligence"" - http://bit.ly/1cJpXbz "
128,0,ChinaQ10,7/19/2014 20:57,#3: Our Final Invention: Artificial Intelligence and the End of the Human Era: Our Final Invention: Artificial... http://amzn.to/1sUnROS 
132,0,chrisholland,12/22/2006 17:18,thinks stef should enroll a piece of sadistic artificial intelligence to call clients on saturday.
193,0,eeeh,10/8/2008 14:12,"... so many artificial intelligence, so many business intelligence... and the newsletter cannot be read ...UNSUBSCRIBE ME, PLEASE !!!"
0,0,_emv,9/14/2010 8:25,Could Artificial Intelligence Development Hit a Dead End?: Kurzweil and his proponents seem to be unshakable in th... http://bit.ly/cvOBE1
2,0,_masaka,2/20/2008 11:12,"quotes BBC News ""Machines will achieve human-level artificial intelligence by 2029"" not SW, but ""tiny robots implanted in people's brains"""
9,0,8BallEyes,3/11/2015 22:30,"@M1chelletolland @rustyrockets Artificial Intelligence  coz of your ""I gained 48384 followers"" lol I'm only messing. :)"
15,0,AdamObelisk,11/27/2013 20:31,"@Maja_Stina Funny, that sounds just like what an artificial intelligence would say. :P"
28,0,Aithene,2/8/2008 18:23,@hooeyspewer Its like Microsoft mastered Artificial Intelligence w/out mastering artificial personalities.
33,0,alexandrusavu,1/28/2007 17:25,Chit chatting with my mates& MSG. The calm before another pointless exam : Artificial intelligence
37,0,AlmostHumor,3/11/2015 22:15,"Code Breakers: What do you get when you mix a death lottery, lethal artificial intelligence and three hackers?... http://fb.me/1JkygTqjU "
38,0,amandachapel,1/29/2008 16:00,"@mediaphyter: Twitter is faux community. This is NOT fellowship. Other than silly peas, this is only a hair above artificial intelligence."
45,0,angiedarrling,2/10/2017 23:47,"Even in poker, artificial intelligence may hold all the cards https://drumup.io/s/fLL0zH "
48,0,AntheaERoberts,1/14/2019 23:54,"Worth reading this piece by @DanCiuriak on the tech basis underlying the US-China trade war. #geoeconomics

The ""trade war is actually predicted by the emergence of a new technological domain — big data, machine learning and artificial intelligence..."" -1

https://www.cigionline.org/articles/trade-war-fuelled-technology …"
